time,contents
['2017-11-28 22:17:11'],"['刚用几天', '睡眠监测表格图就一直转圈圈了', '就是不显示表格图出来', '什么破烂手环']"
['2019-07-21 19:35:40'],"['差评', '这是什么鬼', '新机器', '客服居然让我联系京东', '我也真是服了', '还是官网呢']"
['2018-04-07 01:32:08'],"['刚拆封', '手环上的膜有很明显的大量痕迹', '感觉像是用过的一样', '心里不舒服', '大家买之前请再三斟酌', '不满意的一次购物']"
['2018-01-31 16:17:09'],"['垃圾', '不好用', '还不如小米手环', '价格变化快', '我和同事前后相差', '分钟下单', '我的比同事贵', '我一买完价格又下去了', '气死我了']"
['2018-02-11 09:32:31'],"['京东就是个大忽悠', '什么', '会员京豆', '倍送', '什么返', '结果买了', '万', '块', '返了', '元不到', '更可恶的是', '价格天天调来调去', '一天一个价']"
['2019-01-08 16:24:22'],"['质量一般', '经常出问题', '待机时间太短', '不建议购买', '服务态度差', '通知功能不能用']"
['2017-12-13 16:37:03'],"['无语了为什么没有月份只有号呀', '看你们原来的照片是有的呀', '购买现在感觉你还没有他们好了', '贵不说图片都是盗版的', '一个礼品都没有', '购买的人家差一天坑我', '元', '直接删除京东软件以后不在你们家购物了']"
['2018-12-26 16:52:38'],"['都手至现在不过', '天', '而', '的带电真让人心慌', '一天就接打电话都不够', '真不知道我是不是在官网买个假货']"
['2018-07-03 20:32:53'],"['星是给京东物流胜竹路站的', '差丶非常差', '星给产品本身', '多灾多难的昨天终于收到了', '带了一天', '都不知道碰那里了', '表面多了几条横', '所以不建议大家购买这样的产品']"
['2018-05-09 13:15:24'],"['太垃圾了', '感觉就是个手表', '计步器一点不准', '昨天买', '第二天降价', '京东也现在学会坑蒙了', '上面的好评我真不知道', '你们良心让狗吃了', '祸害这么多人']"
